Category: All categories

Week,netflix: (Australia)
2015-01-11,8
2015-01-18,7
2015-01-25,7
2015-02-01,7
2015-02-08,7
2015-02-15,6
2015-02-22,7
2015-03-01,13
2015-03-08,11
2015-03-15,13
2015-03-22,100
2015-03-29,65
2015-04-05,66
2015-04-12,61
2015-04-19,50
2015-04-26,48
2015-05-03,42
2015-05-10,45
2015-05-17,40
2015-05-24,41
2015-05-31,41
2015-06-07,51
2015-06-14,50
2015-06-21,52
2015-06-28,52
2015-07-05,52
2015-07-12,49
2015-07-19,44
2015-07-26,43
2015-08-02,44
2015-08-09,44
2015-08-16,44
2015-08-23,42
2015-08-30,44
2015-09-06,43
2015-09-13,41
2015-09-20,44
2015-09-27,46
2015-10-04,42
2015-10-11,41
2015-10-18,40
2015-10-25,40
2015-11-01,41
2015-11-08,39
2015-11-15,38
2015-11-22,39
2015-11-29,40
2015-12-06,41
2015-12-13,42
2015-12-20,50
2015-12-27,55
2016-01-03,51
2016-01-10,51
2016-01-17,48
2016-01-24,48
2016-01-31,39
2016-02-07,36
2016-02-14,36
2016-02-21,37
2016-02-28,39
2016-03-06,36
2016-03-13,38
2016-03-20,42
2016-03-27,45
2016-04-03,40
2016-04-10,37
2016-04-17,36
2016-04-24,38
2016-05-01,34
2016-05-08,34
2016-05-15,32
2016-05-22,32
2016-05-29,37
2016-06-05,37
2016-06-12,40
2016-06-19,38
2016-06-26,40
2016-07-03,38
2016-07-10,36
2016-07-17,35
2016-07-24,35
2016-07-31,37
2016-08-07,31
2016-08-14,31
2016-08-21,35
2016-08-28,34
2016-09-04,34
2016-09-11,36
2016-09-18,41
2016-09-25,42
2016-10-02,41
2016-10-09,36
2016-10-16,37
2016-10-23,35
2016-10-30,38
2016-11-06,36
2016-11-13,36
2016-11-20,43
2016-11-27,42
2016-12-04,39
2016-12-11,44
2016-12-18,46
2016-12-25,53
2017-01-01,54
2017-01-08,52
2017-01-15,47
2017-01-22,47
2017-01-29,41
2017-02-05,43
2017-02-12,41
2017-02-19,39
2017-02-26,40
2017-03-05,38
2017-03-12,40
2017-03-19,43
2017-03-26,44
2017-04-02,47
2017-04-09,53
2017-04-16,51
2017-04-23,48
2017-04-30,42
2017-05-07,43
2017-05-14,42
2017-05-21,40
2017-05-28,42
2017-06-04,43
2017-06-11,47
2017-06-18,44
2017-06-25,52
2017-07-02,51
2017-07-09,48
2017-07-16,46
2017-07-23,45
2017-07-30,45
2017-08-06,42
2017-08-13,43
2017-08-20,43
2017-08-27,44
2017-09-03,45
2017-09-10,44
2017-09-17,45
2017-09-24,48
2017-10-01,50
2017-10-08,48
2017-10-15,47
2017-10-22,48
2017-10-29,47
2017-11-05,50
2017-11-12,48
2017-11-19,48
2017-11-26,51
2017-12-03,54
2017-12-10,52
2017-12-17,55
2017-12-24,67
2017-12-31,64
2018-01-07,59
2018-01-14,56
2018-01-21,58
2018-01-28,53
2018-02-04,49
2018-02-11,48
2018-02-18,48
2018-02-25,49
2018-03-04,51
2018-03-11,52
2018-03-18,51
2018-03-25,57
2018-04-01,58
2018-04-08,54
2018-04-15,57
2018-04-22,57
2018-04-29,51
2018-05-06,53
2018-05-13,54
2018-05-20,53
2018-05-27,53
2018-06-03,52
2018-06-10,55
2018-06-17,52
2018-06-24,54
2018-07-01,58
2018-07-08,55
2018-07-15,52
2018-07-22,52
2018-07-29,53
2018-08-05,49
2018-08-12,48
2018-08-19,48
2018-08-26,49
2018-09-02,48
2018-09-09,47
2018-09-16,48
2018-09-23,54
2018-09-30,52
2018-10-07,51
2018-10-14,52
2018-10-21,53
2018-10-28,54
2018-11-04,52
2018-11-11,48
2018-11-18,50
2018-11-25,49
2018-12-02,51
2018-12-09,54
2018-12-16,56
2018-12-23,74
2018-12-30,79
2019-01-06,72
2019-01-13,69
2019-01-20,66
2019-01-27,66
2019-02-03,54
2019-02-10,54
2019-02-17,54
2019-02-24,51
2019-03-03,49
2019-03-10,54
2019-03-17,52
2019-03-24,53
2019-03-31,50
2019-04-07,53
2019-04-14,62
2019-04-21,62
2019-04-28,49
2019-05-05,51
2019-05-12,48
2019-05-19,60
2019-05-26,58
2019-06-02,56
2019-06-09,56
2019-06-16,55
2019-06-23,55
2019-06-30,61
2019-07-07,58
2019-07-14,55
2019-07-21,56
2019-07-28,52
2019-08-04,50
2019-08-11,48
2019-08-18,49
2019-08-25,53
2019-09-01,48
2019-09-08,49
2019-09-15,56
2019-09-22,57
2019-09-29,56
2019-10-06,55
2019-10-13,49
2019-10-20,49
2019-10-27,51
2019-11-03,55
2019-11-10,51
2019-11-17,53
2019-11-24,49
2019-12-01,52
2019-12-08,52
2019-12-15,57
2019-12-22,70
2019-12-29,69
2020-01-05,67
