Category: All categories

Week,netflix: (Canada)
2015-01-11,70
2015-01-18,70
2015-01-25,73
2015-02-01,75
2015-02-08,68
2015-02-15,70
2015-02-22,66
2015-03-01,68
2015-03-08,66
2015-03-15,67
2015-03-22,67
2015-03-29,69
2015-04-05,71
2015-04-12,65
2015-04-19,63
2015-04-26,61
2015-05-03,56
2015-05-10,60
2015-05-17,64
2015-05-24,59
2015-05-31,65
2015-06-07,70
2015-06-14,74
2015-06-21,72
2015-06-28,75
2015-07-05,68
2015-07-12,67
2015-07-19,67
2015-07-26,67
2015-08-02,70
2015-08-09,69
2015-08-16,68
2015-08-23,71
2015-08-30,71
2015-09-06,73
2015-09-13,66
2015-09-20,68
2015-09-27,69
2015-10-04,68
2015-10-11,73
2015-10-18,63
2015-10-25,71
2015-11-01,70
2015-11-08,66
2015-11-15,65
2015-11-22,64
2015-11-29,65
2015-12-06,65
2015-12-13,70
2015-12-20,82
2015-12-27,92
2016-01-03,71
2016-01-10,68
2016-01-17,67
2016-01-24,64
2016-01-31,59
2016-02-07,58
2016-02-14,62
2016-02-21,61
2016-02-28,61
2016-03-06,61
2016-03-13,59
2016-03-20,61
2016-03-27,59
2016-04-03,54
2016-04-10,51
2016-04-17,48
2016-04-24,48
2016-05-01,45
2016-05-08,47
2016-05-15,47
2016-05-22,50
2016-05-29,49
2016-06-05,49
2016-06-12,50
2016-06-19,51
2016-06-26,52
2016-07-03,52
2016-07-10,50
2016-07-17,51
2016-07-24,51
2016-07-31,57
2016-08-07,48
2016-08-14,49
2016-08-21,50
2016-08-28,55
2016-09-04,57
2016-09-11,50
2016-09-18,52
2016-09-25,58
2016-10-02,52
2016-10-09,53
2016-10-16,54
2016-10-23,54
2016-10-30,55
2016-11-06,50
2016-11-13,52
2016-11-20,53
2016-11-27,58
2016-12-04,53
2016-12-11,56
2016-12-18,64
2016-12-25,75
2017-01-01,69
2017-01-08,61
2017-01-15,58
2017-01-22,57
2017-01-29,58
2017-02-05,55
2017-02-12,53
2017-02-19,53
2017-02-26,52
2017-03-05,52
2017-03-12,57
2017-03-19,58
2017-03-26,57
2017-04-02,55
2017-04-09,53
2017-04-16,53
2017-04-23,51
2017-04-30,54
2017-05-07,51
2017-05-14,49
2017-05-21,52
2017-05-28,49
2017-06-04,48
2017-06-11,47
2017-06-18,50
2017-06-25,54
2017-07-02,54
2017-07-09,53
2017-07-16,53
2017-07-23,56
2017-07-30,56
2017-08-06,61
2017-08-13,57
2017-08-20,59
2017-08-27,60
2017-09-03,60
2017-09-10,53
2017-09-17,58
2017-09-24,58
2017-10-01,57
2017-10-08,63
2017-10-15,57
2017-10-22,57
2017-10-29,62
2017-11-05,56
2017-11-12,60
2017-11-19,59
2017-11-26,57
2017-12-03,59
2017-12-10,61
2017-12-17,66
2017-12-24,85
2017-12-31,79
2018-01-07,66
2018-01-14,62
2018-01-21,65
2018-01-28,63
2018-02-04,59
2018-02-11,58
2018-02-18,61
2018-02-25,59
2018-03-04,62
2018-03-11,60
2018-03-18,58
2018-03-25,61
2018-04-01,60
2018-04-08,57
2018-04-15,59
2018-04-22,53
2018-04-29,55
2018-05-06,53
2018-05-13,52
2018-05-20,57
2018-05-27,52
2018-06-03,53
2018-06-10,56
2018-06-17,55
2018-06-24,59
2018-07-01,58
2018-07-08,53
2018-07-15,56
2018-07-22,60
2018-07-29,61
2018-08-05,58
2018-08-12,57
2018-08-19,61
2018-08-26,61
2018-09-02,62
2018-09-09,58
2018-09-16,58
2018-09-23,59
2018-09-30,55
2018-10-07,60
2018-10-14,58
2018-10-21,63
2018-10-28,67
2018-11-04,58
2018-11-11,59
2018-11-18,57
2018-11-25,61
2018-12-02,62
2018-12-09,60
2018-12-16,66
2018-12-23,98
2018-12-30,100
2019-01-06,78
2019-01-13,75
2019-01-20,73
2019-01-27,71
2019-02-03,62
2019-02-10,62
2019-02-17,66
2019-02-24,57
2019-03-03,58
2019-03-10,58
2019-03-17,57
2019-03-24,57
2019-03-31,54
2019-04-07,53
2019-04-14,55
2019-04-21,55
2019-04-28,56
2019-05-05,51
2019-05-12,54
2019-05-19,58
2019-05-26,55
2019-06-02,55
2019-06-09,53
2019-06-16,57
2019-06-23,58
2019-06-30,59
2019-07-07,56
2019-07-14,58
2019-07-21,58
2019-07-28,57
2019-08-04,57
2019-08-11,58
2019-08-18,58
2019-08-25,63
2019-09-01,61
2019-09-08,56
2019-09-15,61
2019-09-22,57
2019-09-29,55
2019-10-06,54
2019-10-13,58
2019-10-20,54
2019-10-27,58
2019-11-03,57
2019-11-10,59
2019-11-17,55
2019-11-24,53
2019-12-01,56
2019-12-08,55
2019-12-15,64
2019-12-22,85
2019-12-29,89
2020-01-05,76
