Category: All categories

Week,netflix: (Egypt)
2015-01-11,4
2015-01-18,4
2015-01-25,6
2015-02-01,2
2015-02-08,4
2015-02-15,5
2015-02-22,5
2015-03-01,5
2015-03-08,5
2015-03-15,4
2015-03-22,4
2015-03-29,5
2015-04-05,5
2015-04-12,5
2015-04-19,5
2015-04-26,5
2015-05-03,4
2015-05-10,4
2015-05-17,5
2015-05-24,6
2015-05-31,5
2015-06-07,7
2015-06-14,8
2015-06-21,5
2015-06-28,6
2015-07-05,6
2015-07-12,6
2015-07-19,5
2015-07-26,7
2015-08-02,5
2015-08-09,8
2015-08-16,5
2015-08-23,4
2015-08-30,7
2015-09-06,8
2015-09-13,4
2015-09-20,8
2015-09-27,7
2015-10-04,8
2015-10-11,6
2015-10-18,6
2015-10-25,9
2015-11-01,6
2015-11-08,6
2015-11-15,6
2015-11-22,7
2015-11-29,6
2015-12-06,6
2015-12-13,8
2015-12-20,8
2015-12-27,5
2016-01-03,58
2016-01-10,31
2016-01-17,19
2016-01-24,16
2016-01-31,11
2016-02-07,8
2016-02-14,10
2016-02-21,9
2016-02-28,8
2016-03-06,11
2016-03-13,9
2016-03-20,10
2016-03-27,8
2016-04-03,9
2016-04-10,9
2016-04-17,9
2016-04-24,9
2016-05-01,8
2016-05-08,6
2016-05-15,8
2016-05-22,7
2016-05-29,7
2016-06-05,7
2016-06-12,6
2016-06-19,7
2016-06-26,8
2016-07-03,10
2016-07-10,9
2016-07-17,10
2016-07-24,5
2016-07-31,6
2016-08-07,8
2016-08-14,9
2016-08-21,9
2016-08-28,9
2016-09-04,11
2016-09-11,8
2016-09-18,8
2016-09-25,8
2016-10-02,9
2016-10-09,7
2016-10-16,6
2016-10-23,7
2016-10-30,8
2016-11-06,9
2016-11-13,6
2016-11-20,8
2016-11-27,8
2016-12-04,8
2016-12-11,10
2016-12-18,11
2016-12-25,12
2017-01-01,11
2017-01-08,7
2017-01-15,9
2017-01-22,9
2017-01-29,7
2017-02-05,8
2017-02-12,9
2017-02-19,8
2017-02-26,9
2017-03-05,8
2017-03-12,7
2017-03-19,10
2017-03-26,9
2017-04-02,11
2017-04-09,13
2017-04-16,12
2017-04-23,10
2017-04-30,13
2017-05-07,11
2017-05-14,10
2017-05-21,11
2017-05-28,11
2017-06-04,8
2017-06-11,10
2017-06-18,9
2017-06-25,13
2017-07-02,13
2017-07-09,11
2017-07-16,18
2017-07-23,13
2017-07-30,14
2017-08-06,11
2017-08-13,15
2017-08-20,16
2017-08-27,16
2017-09-03,18
2017-09-10,15
2017-09-17,15
2017-09-24,16
2017-10-01,15
2017-10-08,13
2017-10-15,10
2017-10-22,13
2017-10-29,17
2017-11-05,19
2017-11-12,17
2017-11-19,14
2017-11-26,19
2017-12-03,18
2017-12-10,16
2017-12-17,20
2017-12-24,19
2017-12-31,25
2018-01-07,27
2018-01-14,25
2018-01-21,23
2018-01-28,25
2018-02-04,27
2018-02-11,20
2018-02-18,21
2018-02-25,24
2018-03-04,31
2018-03-11,31
2018-03-18,30
2018-03-25,31
2018-04-01,31
2018-04-08,27
2018-04-15,24
2018-04-22,23
2018-04-29,25
2018-05-06,27
2018-05-13,32
2018-05-20,29
2018-05-27,21
2018-06-03,26
2018-06-10,25
2018-06-17,29
2018-06-24,28
2018-07-01,32
2018-07-08,33
2018-07-15,31
2018-07-22,36
2018-07-29,36
2018-08-05,32
2018-08-12,32
2018-08-19,45
2018-08-26,42
2018-09-02,39
2018-09-09,39
2018-09-16,39
2018-09-23,38
2018-09-30,37
2018-10-07,46
2018-10-14,49
2018-10-21,50
2018-10-28,45
2018-11-04,38
2018-11-11,36
2018-11-18,43
2018-11-25,40
2018-12-02,45
2018-12-09,51
2018-12-16,53
2018-12-23,58
2018-12-30,81
2019-01-06,82
2019-01-13,78
2019-01-20,87
2019-01-27,74
2019-02-03,66
2019-02-10,59
2019-02-17,53
2019-02-24,43
2019-03-03,48
2019-03-10,53
2019-03-17,48
2019-03-24,47
2019-03-31,46
2019-04-07,44
2019-04-14,45
2019-04-21,52
2019-04-28,47
2019-05-05,37
2019-05-12,61
2019-05-19,50
2019-05-26,57
2019-06-02,83
2019-06-09,83
2019-06-16,87
2019-06-23,78
2019-06-30,78
2019-07-07,81
2019-07-14,88
2019-07-21,100
2019-07-28,94
2019-08-04,90
2019-08-11,89
2019-08-18,77
2019-08-25,78
2019-09-01,82
2019-09-08,72
2019-09-15,65
2019-09-22,65
2019-09-29,64
2019-10-06,64
2019-10-13,69
2019-10-20,64
2019-10-27,66
2019-11-03,62
2019-11-10,63
2019-11-17,65
2019-11-24,63
2019-12-01,65
2019-12-08,63
2019-12-15,71
2019-12-22,79
2019-12-29,85
2020-01-05,90
