Category: All categories

Week,netflix: (France)
2015-01-11,11
2015-01-18,11
2015-01-25,12
2015-02-01,12
2015-02-08,13
2015-02-15,13
2015-02-22,13
2015-03-01,12
2015-03-08,11
2015-03-15,11
2015-03-22,11
2015-03-29,12
2015-04-05,12
2015-04-12,13
2015-04-19,12
2015-04-26,13
2015-05-03,12
2015-05-10,12
2015-05-17,11
2015-05-24,11
2015-05-31,11
2015-06-07,13
2015-06-14,16
2015-06-21,15
2015-06-28,15
2015-07-05,14
2015-07-12,15
2015-07-19,15
2015-07-26,17
2015-08-02,16
2015-08-09,17
2015-08-16,19
2015-08-23,18
2015-08-30,18
2015-09-06,16
2015-09-13,17
2015-09-20,16
2015-09-27,17
2015-10-04,17
2015-10-11,18
2015-10-18,19
2015-10-25,19
2015-11-01,16
2015-11-08,17
2015-11-15,16
2015-11-22,17
2015-11-29,16
2015-12-06,16
2015-12-13,16
2015-12-20,22
2015-12-27,25
2016-01-03,17
2016-01-10,17
2016-01-17,16
2016-01-24,16
2016-01-31,15
2016-02-07,15
2016-02-14,16
2016-02-21,16
2016-02-28,16
2016-03-06,16
2016-03-13,16
2016-03-20,17
2016-03-27,18
2016-04-03,16
2016-04-10,16
2016-04-17,16
2016-04-24,16
2016-05-01,17
2016-05-08,18
2016-05-15,15
2016-05-22,14
2016-05-29,15
2016-06-05,14
2016-06-12,16
2016-06-19,16
2016-06-26,17
2016-07-03,15
2016-07-10,16
2016-07-17,17
2016-07-24,18
2016-07-31,19
2016-08-07,18
2016-08-14,19
2016-08-21,20
2016-08-28,20
2016-09-04,21
2016-09-11,19
2016-09-18,20
2016-09-25,23
2016-10-02,21
2016-10-09,20
2016-10-16,22
2016-10-23,24
2016-10-30,24
2016-11-06,22
2016-11-13,20
2016-11-20,19
2016-11-27,22
2016-12-04,20
2016-12-11,21
2016-12-18,26
2016-12-25,31
2017-01-01,28
2017-01-08,26
2017-01-15,26
2017-01-22,26
2017-01-29,25
2017-02-05,27
2017-02-12,28
2017-02-19,27
2017-02-26,25
2017-03-05,24
2017-03-12,24
2017-03-19,26
2017-03-26,26
2017-04-02,27
2017-04-09,27
2017-04-16,31
2017-04-23,26
2017-04-30,29
2017-05-07,29
2017-05-14,26
2017-05-21,26
2017-05-28,25
2017-06-04,28
2017-06-11,27
2017-06-18,28
2017-06-25,32
2017-07-02,31
2017-07-09,32
2017-07-16,33
2017-07-23,37
2017-07-30,36
2017-08-06,40
2017-08-13,41
2017-08-20,44
2017-08-27,43
2017-09-03,39
2017-09-10,38
2017-09-17,36
2017-09-24,36
2017-10-01,37
2017-10-08,38
2017-10-15,39
2017-10-22,49
2017-10-29,52
2017-11-05,44
2017-11-12,45
2017-11-19,43
2017-11-26,43
2017-12-03,41
2017-12-10,41
2017-12-17,46
2017-12-24,66
2017-12-31,63
2018-01-07,51
2018-01-14,50
2018-01-21,56
2018-01-28,52
2018-02-04,55
2018-02-11,56
2018-02-18,56
2018-02-25,57
2018-03-04,53
2018-03-11,52
2018-03-18,49
2018-03-25,49
2018-04-01,55
2018-04-08,55
2018-04-15,54
2018-04-22,53
2018-04-29,59
2018-05-06,57
2018-05-13,54
2018-05-20,55
2018-05-27,50
2018-06-03,51
2018-06-10,51
2018-06-17,46
2018-06-24,44
2018-07-01,44
2018-07-08,45
2018-07-15,47
2018-07-22,56
2018-07-29,59
2018-08-05,56
2018-08-12,63
2018-08-19,65
2018-08-26,67
2018-09-02,56
2018-09-09,54
2018-09-16,53
2018-09-23,52
2018-09-30,51
2018-10-07,57
2018-10-14,55
2018-10-21,65
2018-10-28,74
2018-11-04,58
2018-11-11,58
2018-11-18,57
2018-11-25,57
2018-12-02,59
2018-12-09,62
2018-12-16,71
2018-12-23,99
2018-12-30,98
2019-01-06,76
2019-01-13,73
2019-01-20,70
2019-01-27,70
2019-02-03,65
2019-02-10,68
2019-02-17,66
2019-02-24,60
2019-03-03,56
2019-03-10,56
2019-03-17,56
2019-03-24,54
2019-03-31,53
2019-04-07,59
2019-04-14,57
2019-04-21,63
2019-04-28,61
2019-05-05,61
2019-05-12,55
2019-05-19,55
2019-05-26,58
2019-06-02,53
2019-06-09,62
2019-06-16,60
2019-06-23,56
2019-06-30,59
2019-07-07,62
2019-07-14,68
2019-07-21,73
2019-07-28,72
2019-08-04,66
2019-08-11,74
2019-08-18,73
2019-08-25,69
2019-09-01,63
2019-09-08,64
2019-09-15,64
2019-09-22,62
2019-09-29,60
2019-10-06,64
2019-10-13,70
2019-10-20,75
2019-10-27,79
2019-11-03,66
2019-11-10,71
2019-11-17,68
2019-11-24,63
2019-12-01,65
2019-12-08,64
2019-12-15,72
2019-12-22,98
2019-12-29,100
2020-01-05,82
