Category: All categories

Week,netflix: (Hong Kong)
2015-01-11,6
2015-01-18,5
2015-01-25,4
2015-02-01,4
2015-02-08,3
2015-02-15,3
2015-02-22,4
2015-03-01,5
2015-03-08,5
2015-03-15,4
2015-03-22,3
2015-03-29,5
2015-04-05,8
2015-04-12,6
2015-04-19,4
2015-04-26,4
2015-05-03,5
2015-05-10,4
2015-05-17,4
2015-05-24,6
2015-05-31,3
2015-06-07,6
2015-06-14,5
2015-06-21,7
2015-06-28,7
2015-07-05,6
2015-07-12,7
2015-07-19,5
2015-07-26,3
2015-08-02,6
2015-08-09,5
2015-08-16,5
2015-08-23,5
2015-08-30,8
2015-09-06,24
2015-09-13,8
2015-09-20,8
2015-09-27,8
2015-10-04,7
2015-10-11,7
2015-10-18,6
2015-10-25,7
2015-11-01,7
2015-11-08,6
2015-11-15,7
2015-11-22,7
2015-11-29,7
2015-12-06,7
2015-12-13,5
2015-12-20,11
2015-12-27,8
2016-01-03,100
2016-01-10,59
2016-01-17,29
2016-01-24,28
2016-01-31,24
2016-02-07,26
2016-02-14,21
2016-02-21,21
2016-02-28,19
2016-03-06,20
2016-03-13,16
2016-03-20,21
2016-03-27,21
2016-04-03,14
2016-04-10,13
2016-04-17,16
2016-04-24,15
2016-05-01,14
2016-05-08,13
2016-05-15,16
2016-05-22,13
2016-05-29,12
2016-06-05,12
2016-06-12,13
2016-06-19,14
2016-06-26,16
2016-07-03,12
2016-07-10,13
2016-07-17,12
2016-07-24,12
2016-07-31,10
2016-08-07,11
2016-08-14,10
2016-08-21,12
2016-08-28,15
2016-09-04,13
2016-09-11,13
2016-09-18,15
2016-09-25,15
2016-10-02,16
2016-10-09,19
2016-10-16,17
2016-10-23,11
2016-10-30,17
2016-11-06,20
2016-11-13,17
2016-11-20,17
2016-11-27,16
2016-12-04,17
2016-12-11,15
2016-12-18,18
2016-12-25,21
2017-01-01,22
2017-01-08,18
2017-01-15,16
2017-01-22,26
2017-01-29,26
2017-02-05,16
2017-02-12,16
2017-02-19,18
2017-02-26,19
2017-03-05,15
2017-03-12,21
2017-03-19,22
2017-03-26,22
2017-04-02,19
2017-04-09,20
2017-04-16,25
2017-04-23,20
2017-04-30,20
2017-05-07,16
2017-05-14,20
2017-05-21,23
2017-05-28,22
2017-06-04,19
2017-06-11,21
2017-06-18,18
2017-06-25,21
2017-07-02,21
2017-07-09,20
2017-07-16,21
2017-07-23,26
2017-07-30,22
2017-08-06,20
2017-08-13,29
2017-08-20,26
2017-08-27,21
2017-09-03,20
2017-09-10,23
2017-09-17,21
2017-09-24,20
2017-10-01,24
2017-10-08,20
2017-10-15,25
2017-10-22,28
2017-10-29,27
2017-11-05,24
2017-11-12,26
2017-11-19,25
2017-11-26,21
2017-12-03,26
2017-12-10,28
2017-12-17,31
2017-12-24,32
2017-12-31,33
2018-01-07,37
2018-01-14,34
2018-01-21,33
2018-01-28,36
2018-02-04,36
2018-02-11,43
2018-02-18,31
2018-02-25,26
2018-03-04,31
2018-03-11,32
2018-03-18,30
2018-03-25,30
2018-04-01,34
2018-04-08,30
2018-04-15,31
2018-04-22,29
2018-04-29,36
2018-05-06,32
2018-05-13,32
2018-05-20,36
2018-05-27,31
2018-06-03,32
2018-06-10,32
2018-06-17,29
2018-06-24,30
2018-07-01,33
2018-07-08,33
2018-07-15,40
2018-07-22,37
2018-07-29,34
2018-08-05,36
2018-08-12,34
2018-08-19,35
2018-08-26,36
2018-09-02,28
2018-09-09,31
2018-09-16,36
2018-09-23,31
2018-09-30,33
2018-10-07,26
2018-10-14,41
2018-10-21,34
2018-10-28,28
2018-11-04,29
2018-11-11,31
2018-11-18,29
2018-11-25,31
2018-12-02,28
2018-12-09,31
2018-12-16,35
2018-12-23,47
2018-12-30,59
2019-01-06,50
2019-01-13,56
2019-01-20,55
2019-01-27,50
2019-02-03,85
2019-02-10,55
2019-02-17,52
2019-02-24,51
2019-03-03,46
2019-03-10,47
2019-03-17,51
2019-03-24,52
2019-03-31,57
2019-04-07,56
2019-04-14,62
2019-04-21,58
2019-04-28,55
2019-05-05,54
2019-05-12,46
2019-05-19,50
2019-05-26,53
2019-06-02,53
2019-06-09,40
2019-06-16,43
2019-06-23,55
2019-06-30,53
2019-07-07,52
2019-07-14,53
2019-07-21,48
2019-07-28,53
2019-08-04,52
2019-08-11,48
2019-08-18,48
2019-08-25,51
2019-09-01,45
2019-09-08,45
2019-09-15,49
2019-09-22,49
2019-09-29,50
2019-10-06,49
2019-10-13,44
2019-10-20,52
2019-10-27,49
2019-11-03,49
2019-11-10,47
2019-11-17,46
2019-11-24,42
2019-12-01,41
2019-12-08,44
2019-12-15,54
2019-12-22,75
2019-12-29,75
2020-01-05,68
