Category: All categories

Week,netflix: (India)
2015-01-11,4
2015-01-18,4
2015-01-25,4
2015-02-01,4
2015-02-08,4
2015-02-15,4
2015-02-22,4
2015-03-01,4
2015-03-08,4
2015-03-15,4
2015-03-22,4
2015-03-29,4
2015-04-05,5
2015-04-12,5
2015-04-19,4
2015-04-26,4
2015-05-03,5
2015-05-10,5
2015-05-17,4
2015-05-24,4
2015-05-31,4
2015-06-07,5
2015-06-14,5
2015-06-21,5
2015-06-28,5
2015-07-05,4
2015-07-12,5
2015-07-19,5
2015-07-26,5
2015-08-02,5
2015-08-09,5
2015-08-16,4
2015-08-23,5
2015-08-30,6
2015-09-06,6
2015-09-13,5
2015-09-20,6
2015-09-27,7
2015-10-04,7
2015-10-11,6
2015-10-18,6
2015-10-25,6
2015-11-01,5
2015-11-08,6
2015-11-15,6
2015-11-22,7
2015-11-29,6
2015-12-06,6
2015-12-13,6
2015-12-20,7
2015-12-27,9
2016-01-03,70
2016-01-10,30
2016-01-17,18
2016-01-24,14
2016-01-31,11
2016-02-07,11
2016-02-14,9
2016-02-21,9
2016-02-28,9
2016-03-06,10
2016-03-13,9
2016-03-20,10
2016-03-27,9
2016-04-03,9
2016-04-10,8
2016-04-17,8
2016-04-24,8
2016-05-01,7
2016-05-08,7
2016-05-15,7
2016-05-22,7
2016-05-29,7
2016-06-05,8
2016-06-12,7
2016-06-19,7
2016-06-26,9
2016-07-03,8
2016-07-10,9
2016-07-17,9
2016-07-24,9
2016-07-31,8
2016-08-07,8
2016-08-14,8
2016-08-21,9
2016-08-28,11
2016-09-04,12
2016-09-11,12
2016-09-18,10
2016-09-25,10
2016-10-02,10
2016-10-09,11
2016-10-16,10
2016-10-23,9
2016-10-30,10
2016-11-06,9
2016-11-13,9
2016-11-20,10
2016-11-27,11
2016-12-04,10
2016-12-11,13
2016-12-18,11
2016-12-25,12
2017-01-01,12
2017-01-08,11
2017-01-15,11
2017-01-22,11
2017-01-29,10
2017-02-05,10
2017-02-12,10
2017-02-19,10
2017-02-26,10
2017-03-05,12
2017-03-12,14
2017-03-19,14
2017-03-26,13
2017-04-02,12
2017-04-09,13
2017-04-16,13
2017-04-23,14
2017-04-30,15
2017-05-07,15
2017-05-14,13
2017-05-21,15
2017-05-28,15
2017-06-04,14
2017-06-11,14
2017-06-18,14
2017-06-25,15
2017-07-02,15
2017-07-09,16
2017-07-16,16
2017-07-23,15
2017-07-30,15
2017-08-06,16
2017-08-13,17
2017-08-20,18
2017-08-27,19
2017-09-03,18
2017-09-10,16
2017-09-17,17
2017-09-24,16
2017-10-01,16
2017-10-08,19
2017-10-15,19
2017-10-22,19
2017-10-29,19
2017-11-05,18
2017-11-12,19
2017-11-19,20
2017-11-26,20
2017-12-03,20
2017-12-10,20
2017-12-17,20
2017-12-24,24
2017-12-31,23
2018-01-07,21
2018-01-14,21
2018-01-21,22
2018-01-28,21
2018-02-04,21
2018-02-11,21
2018-02-18,23
2018-02-25,24
2018-03-04,27
2018-03-11,30
2018-03-18,28
2018-03-25,28
2018-04-01,26
2018-04-08,24
2018-04-15,26
2018-04-22,26
2018-04-29,29
2018-05-06,30
2018-05-13,33
2018-05-20,60
2018-05-27,30
2018-06-03,33
2018-06-10,47
2018-06-17,74
2018-06-24,53
2018-07-01,44
2018-07-08,72
2018-07-15,77
2018-07-22,71
2018-07-29,57
2018-08-05,53
2018-08-12,54
2018-08-19,61
2018-08-26,65
2018-09-02,55
2018-09-09,51
2018-09-16,46
2018-09-23,42
2018-09-30,45
2018-10-07,49
2018-10-14,58
2018-10-21,52
2018-10-28,52
2018-11-04,58
2018-11-11,55
2018-11-18,56
2018-11-25,57
2018-12-02,60
2018-12-09,57
2018-12-16,58
2018-12-23,64
2018-12-30,66
2019-01-06,66
2019-01-13,67
2019-01-20,65
2019-01-27,58
2019-02-03,53
2019-02-10,50
2019-02-17,49
2019-02-24,46
2019-03-03,45
2019-03-10,48
2019-03-17,56
2019-03-24,47
2019-03-31,41
2019-04-07,42
2019-04-14,43
2019-04-21,39
2019-04-28,38
2019-05-05,39
2019-05-12,42
2019-05-19,41
2019-05-26,47
2019-06-02,53
2019-06-09,55
2019-06-16,56
2019-06-23,53
2019-06-30,52
2019-07-07,57
2019-07-14,59
2019-07-21,68
2019-07-28,60
2019-08-04,55
2019-08-11,100
2019-08-18,77
2019-08-25,63
2019-09-01,63
2019-09-08,60
2019-09-15,57
2019-09-22,57
2019-09-29,58
2019-10-06,59
2019-10-13,58
2019-10-20,54
2019-10-27,63
2019-11-03,56
2019-11-10,56
2019-11-17,53
2019-11-24,51
2019-12-01,50
2019-12-08,54
2019-12-15,58
2019-12-22,68
2019-12-29,76
2020-01-05,70
