Category: All categories

Week,netflix: (Japan)
2015-01-11,4
2015-01-18,4
2015-01-25,4
2015-02-01,7
2015-02-08,5
2015-02-15,5
2015-02-22,5
2015-03-01,5
2015-03-08,4
2015-03-15,4
2015-03-22,4
2015-03-29,4
2015-04-05,5
2015-04-12,5
2015-04-19,5
2015-04-26,4
2015-05-03,4
2015-05-10,4
2015-05-17,4
2015-05-24,5
2015-05-31,5
2015-06-07,6
2015-06-14,7
2015-06-21,5
2015-06-28,5
2015-07-05,6
2015-07-12,6
2015-07-19,5
2015-07-26,5
2015-08-02,11
2015-08-09,8
2015-08-16,11
2015-08-23,27
2015-08-30,97
2015-09-06,51
2015-09-13,34
2015-09-20,37
2015-09-27,31
2015-10-04,29
2015-10-11,26
2015-10-18,24
2015-10-25,24
2015-11-01,25
2015-11-08,24
2015-11-15,20
2015-11-22,21
2015-11-29,20
2015-12-06,19
2015-12-13,22
2015-12-20,22
2015-12-27,24
2016-01-03,24
2016-01-10,24
2016-01-17,21
2016-01-24,20
2016-01-31,20
2016-02-07,19
2016-02-14,20
2016-02-21,26
2016-02-28,29
2016-03-06,25
2016-03-13,22
2016-03-20,23
2016-03-27,21
2016-04-03,20
2016-04-10,19
2016-04-17,20
2016-04-24,20
2016-05-01,23
2016-05-08,18
2016-05-15,17
2016-05-22,20
2016-05-29,20
2016-06-05,21
2016-06-12,20
2016-06-19,21
2016-06-26,23
2016-07-03,19
2016-07-10,18
2016-07-17,18
2016-07-24,17
2016-07-31,19
2016-08-07,18
2016-08-14,19
2016-08-21,20
2016-08-28,21
2016-09-04,22
2016-09-11,22
2016-09-18,24
2016-09-25,23
2016-10-02,21
2016-10-09,20
2016-10-16,19
2016-10-23,19
2016-10-30,21
2016-11-06,19
2016-11-13,21
2016-11-20,20
2016-11-27,23
2016-12-04,20
2016-12-11,22
2016-12-18,23
2016-12-25,24
2017-01-01,26
2017-01-08,25
2017-01-15,25
2017-01-22,22
2017-01-29,21
2017-02-05,22
2017-02-12,21
2017-02-19,22
2017-02-26,25
2017-03-05,20
2017-03-12,21
2017-03-19,25
2017-03-26,25
2017-04-02,24
2017-04-09,26
2017-04-16,25
2017-04-23,24
2017-04-30,26
2017-05-07,23
2017-05-14,26
2017-05-21,30
2017-05-28,28
2017-06-04,23
2017-06-11,24
2017-06-18,25
2017-06-25,25
2017-07-02,25
2017-07-09,23
2017-07-16,25
2017-07-23,24
2017-07-30,26
2017-08-06,30
2017-08-13,30
2017-08-20,27
2017-08-27,29
2017-09-03,28
2017-09-10,28
2017-09-17,30
2017-09-24,27
2017-10-01,28
2017-10-08,29
2017-10-15,28
2017-10-22,27
2017-10-29,32
2017-11-05,35
2017-11-12,34
2017-11-19,31
2017-11-26,32
2017-12-03,31
2017-12-10,32
2017-12-17,36
2017-12-24,40
2017-12-31,45
2018-01-07,44
2018-01-14,40
2018-01-21,40
2018-01-28,37
2018-02-04,38
2018-02-11,39
2018-02-18,39
2018-02-25,40
2018-03-04,39
2018-03-11,37
2018-03-18,38
2018-03-25,36
2018-04-01,36
2018-04-08,38
2018-04-15,41
2018-04-22,36
2018-04-29,46
2018-05-06,40
2018-05-13,37
2018-05-20,36
2018-05-27,41
2018-06-03,36
2018-06-10,36
2018-06-17,35
2018-06-24,35
2018-07-01,38
2018-07-08,35
2018-07-15,39
2018-07-22,41
2018-07-29,42
2018-08-05,40
2018-08-12,41
2018-08-19,45
2018-08-26,47
2018-09-02,44
2018-09-09,42
2018-09-16,42
2018-09-23,46
2018-09-30,43
2018-10-07,45
2018-10-14,42
2018-10-21,39
2018-10-28,42
2018-11-04,42
2018-11-11,41
2018-11-18,45
2018-11-25,46
2018-12-02,42
2018-12-09,46
2018-12-16,46
2018-12-23,49
2018-12-30,56
2019-01-06,49
2019-01-13,52
2019-01-20,45
2019-01-27,44
2019-02-03,41
2019-02-10,43
2019-02-17,40
2019-02-24,38
2019-03-03,40
2019-03-10,38
2019-03-17,43
2019-03-24,44
2019-03-31,44
2019-04-07,47
2019-04-14,41
2019-04-21,40
2019-04-28,51
2019-05-05,39
2019-05-12,44
2019-05-19,39
2019-05-26,40
2019-06-02,40
2019-06-09,42
2019-06-16,41
2019-06-23,43
2019-06-30,43
2019-07-07,41
2019-07-14,41
2019-07-21,40
2019-07-28,41
2019-08-04,40
2019-08-11,51
2019-08-18,50
2019-08-25,47
2019-09-01,46
2019-09-08,44
2019-09-15,44
2019-09-22,42
2019-09-29,43
2019-10-06,48
2019-10-13,44
2019-10-20,43
2019-10-27,41
2019-11-03,44
2019-11-10,40
2019-11-17,42
2019-11-24,39
2019-12-01,42
2019-12-08,53
2019-12-15,52
2019-12-22,64
2019-12-29,100
2020-01-05,68
