Category: All categories

Week,netflix: (Mexico)
2015-01-11,45
2015-01-18,43
2015-01-25,42
2015-02-01,46
2015-02-08,38
2015-02-15,39
2015-02-22,38
2015-03-01,38
2015-03-08,39
2015-03-15,42
2015-03-22,40
2015-03-29,55
2015-04-05,48
2015-04-12,42
2015-04-19,40
2015-04-26,43
2015-05-03,40
2015-05-10,39
2015-05-17,38
2015-05-24,40
2015-05-31,40
2015-06-07,43
2015-06-14,46
2015-06-21,47
2015-06-28,49
2015-07-05,52
2015-07-12,52
2015-07-19,52
2015-07-26,52
2015-08-02,54
2015-08-09,54
2015-08-16,53
2015-08-23,48
2015-08-30,49
2015-09-06,48
2015-09-13,54
2015-09-20,49
2015-09-27,48
2015-10-04,45
2015-10-11,48
2015-10-18,48
2015-10-25,48
2015-11-01,50
2015-11-08,48
2015-11-15,52
2015-11-22,48
2015-11-29,48
2015-12-06,49
2015-12-13,56
2015-12-20,68
2015-12-27,74
2016-01-03,57
2016-01-10,52
2016-01-17,49
2016-01-24,47
2016-01-31,46
2016-02-07,40
2016-02-14,40
2016-02-21,43
2016-02-28,43
2016-03-06,44
2016-03-13,42
2016-03-20,63
2016-03-27,52
2016-04-03,41
2016-04-10,40
2016-04-17,41
2016-04-24,40
2016-05-01,40
2016-05-08,40
2016-05-15,39
2016-05-22,41
2016-05-29,41
2016-06-05,43
2016-06-12,47
2016-06-19,50
2016-06-26,52
2016-07-03,52
2016-07-10,52
2016-07-17,56
2016-07-24,56
2016-07-31,55
2016-08-07,49
2016-08-14,47
2016-08-21,44
2016-08-28,42
2016-09-04,44
2016-09-11,47
2016-09-18,44
2016-09-25,48
2016-10-02,49
2016-10-09,46
2016-10-16,48
2016-10-23,48
2016-10-30,52
2016-11-06,45
2016-11-13,45
2016-11-20,49
2016-11-27,46
2016-12-04,50
2016-12-11,57
2016-12-18,63
2016-12-25,73
2017-01-01,67
2017-01-08,61
2017-01-15,56
2017-01-22,54
2017-01-29,52
2017-02-05,54
2017-02-12,48
2017-02-19,50
2017-02-26,52
2017-03-05,50
2017-03-12,52
2017-03-19,57
2017-03-26,57
2017-04-02,58
2017-04-09,82
2017-04-16,69
2017-04-23,60
2017-04-30,65
2017-05-07,59
2017-05-14,57
2017-05-21,52
2017-05-28,55
2017-06-04,55
2017-06-11,58
2017-06-18,61
2017-06-25,67
2017-07-02,70
2017-07-09,71
2017-07-16,72
2017-07-23,79
2017-07-30,78
2017-08-06,74
2017-08-13,69
2017-08-20,64
2017-08-27,66
2017-09-03,64
2017-09-10,59
2017-09-17,55
2017-09-24,63
2017-10-01,63
2017-10-08,60
2017-10-15,60
2017-10-22,63
2017-10-29,69
2017-11-05,61
2017-11-12,57
2017-11-19,62
2017-11-26,58
2017-12-03,62
2017-12-10,67
2017-12-17,81
2017-12-24,100
2017-12-31,94
2018-01-07,75
2018-01-14,73
2018-01-21,72
2018-01-28,67
2018-02-04,67
2018-02-11,60
2018-02-18,60
2018-02-25,58
2018-03-04,57
2018-03-11,59
2018-03-18,67
2018-03-25,86
2018-04-01,77
2018-04-08,64
2018-04-15,64
2018-04-22,68
2018-04-29,71
2018-05-06,69
2018-05-13,71
2018-05-20,66
2018-05-27,64
2018-06-03,65
2018-06-10,67
2018-06-17,64
2018-06-24,67
2018-07-01,64
2018-07-08,70
2018-07-15,68
2018-07-22,74
2018-07-29,74
2018-08-05,68
2018-08-12,68
2018-08-19,60
2018-08-26,58
2018-09-02,57
2018-09-09,58
2018-09-16,54
2018-09-23,54
2018-09-30,53
2018-10-07,57
2018-10-14,57
2018-10-21,58
2018-10-28,63
2018-11-04,53
2018-11-11,51
2018-11-18,60
2018-11-25,54
2018-12-02,52
2018-12-09,59
2018-12-16,66
2018-12-23,91
2018-12-30,98
2019-01-06,73
2019-01-13,70
2019-01-20,65
2019-01-27,63
2019-02-03,62
2019-02-10,56
2019-02-17,54
2019-02-24,53
2019-03-03,51
2019-03-10,52
2019-03-17,62
2019-03-24,57
2019-03-31,55
2019-04-07,56
2019-04-14,74
2019-04-21,63
2019-04-28,56
2019-05-05,50
2019-05-12,54
2019-05-19,51
2019-05-26,53
2019-06-02,57
2019-06-09,56
2019-06-16,59
2019-06-23,60
2019-06-30,65
2019-07-07,65
2019-07-14,69
2019-07-21,74
2019-07-28,67
2019-08-04,61
2019-08-11,59
2019-08-18,59
2019-08-25,54
2019-09-01,53
2019-09-08,52
2019-09-15,59
2019-09-22,52
2019-09-29,54
2019-10-06,53
2019-10-13,52
2019-10-20,53
2019-10-27,52
2019-11-03,54
2019-11-10,52
2019-11-17,60
2019-11-24,55
2019-12-01,51
2019-12-08,54
2019-12-15,65
2019-12-22,81
2019-12-29,84
2020-01-05,78
