Category: All categories

Week,netflix: (South Korea)
2015-01-11,10
2015-01-18,11
2015-01-25,10
2015-02-01,9
2015-02-08,13
2015-02-15,12
2015-02-22,10
2015-03-01,13
2015-03-08,9
2015-03-15,10
2015-03-22,11
2015-03-29,8
2015-04-05,13
2015-04-12,10
2015-04-19,11
2015-04-26,9
2015-05-03,9
2015-05-10,10
2015-05-17,10
2015-05-24,10
2015-05-31,10
2015-06-07,14
2015-06-14,10
2015-06-21,10
2015-06-28,11
2015-07-05,15
2015-07-12,9
2015-07-19,9
2015-07-26,9
2015-08-02,12
2015-08-09,11
2015-08-16,13
2015-08-23,10
2015-08-30,13
2015-09-06,17
2015-09-13,11
2015-09-20,14
2015-09-27,14
2015-10-04,12
2015-10-11,9
2015-10-18,12
2015-10-25,15
2015-11-01,16
2015-11-08,15
2015-11-15,12
2015-11-22,14
2015-11-29,11
2015-12-06,12
2015-12-13,13
2015-12-20,12
2015-12-27,13
2016-01-03,54
2016-01-10,50
2016-01-17,34
2016-01-24,30
2016-01-31,31
2016-02-07,27
2016-02-14,26
2016-02-21,23
2016-02-28,28
2016-03-06,25
2016-03-13,24
2016-03-20,27
2016-03-27,23
2016-04-03,20
2016-04-10,24
2016-04-17,22
2016-04-24,19
2016-05-01,17
2016-05-08,18
2016-05-15,16
2016-05-22,17
2016-05-29,17
2016-06-05,18
2016-06-12,16
2016-06-19,20
2016-06-26,21
2016-07-03,17
2016-07-10,18
2016-07-17,17
2016-07-24,18
2016-07-31,18
2016-08-07,15
2016-08-14,20
2016-08-21,20
2016-08-28,16
2016-09-04,20
2016-09-11,20
2016-09-18,18
2016-09-25,21
2016-10-02,21
2016-10-09,20
2016-10-16,21
2016-10-23,19
2016-10-30,22
2016-11-06,17
2016-11-13,18
2016-11-20,20
2016-11-27,24
2016-12-04,19
2016-12-11,22
2016-12-18,27
2016-12-25,24
2017-01-01,23
2017-01-08,24
2017-01-15,22
2017-01-22,23
2017-01-29,25
2017-02-05,19
2017-02-12,22
2017-02-19,19
2017-02-26,23
2017-03-05,20
2017-03-12,21
2017-03-19,25
2017-03-26,28
2017-04-02,22
2017-04-09,23
2017-04-16,21
2017-04-23,20
2017-04-30,23
2017-05-07,23
2017-05-14,21
2017-05-21,23
2017-05-28,23
2017-06-04,25
2017-06-11,26
2017-06-18,26
2017-06-25,32
2017-07-02,35
2017-07-09,36
2017-07-16,34
2017-07-23,33
2017-07-30,33
2017-08-06,25
2017-08-13,28
2017-08-20,29
2017-08-27,26
2017-09-03,24
2017-09-10,26
2017-09-17,27
2017-09-24,26
2017-10-01,34
2017-10-08,27
2017-10-15,27
2017-10-22,30
2017-10-29,27
2017-11-05,28
2017-11-12,29
2017-11-19,31
2017-11-26,33
2017-12-03,32
2017-12-10,35
2017-12-17,34
2017-12-24,36
2017-12-31,37
2018-01-07,35
2018-01-14,30
2018-01-21,35
2018-01-28,38
2018-02-04,37
2018-02-11,41
2018-02-18,31
2018-02-25,34
2018-03-04,35
2018-03-11,37
2018-03-18,35
2018-03-25,36
2018-04-01,37
2018-04-08,36
2018-04-15,42
2018-04-22,38
2018-04-29,42
2018-05-06,41
2018-05-13,39
2018-05-20,43
2018-05-27,44
2018-06-03,36
2018-06-10,41
2018-06-17,35
2018-06-24,42
2018-07-01,44
2018-07-08,44
2018-07-15,50
2018-07-22,50
2018-07-29,50
2018-08-05,45
2018-08-12,47
2018-08-19,49
2018-08-26,46
2018-09-02,50
2018-09-09,47
2018-09-16,50
2018-09-23,55
2018-09-30,46
2018-10-07,43
2018-10-14,47
2018-10-21,44
2018-10-28,46
2018-11-04,44
2018-11-11,47
2018-11-18,47
2018-11-25,47
2018-12-02,46
2018-12-09,44
2018-12-16,52
2018-12-23,64
2018-12-30,70
2019-01-06,59
2019-01-13,64
2019-01-20,66
2019-01-27,78
2019-02-03,85
2019-02-10,71
2019-02-17,64
2019-02-24,68
2019-03-03,55
2019-03-10,55
2019-03-17,55
2019-03-24,52
2019-03-31,58
2019-04-07,58
2019-04-14,60
2019-04-21,59
2019-04-28,64
2019-05-05,66
2019-05-12,58
2019-05-19,58
2019-05-26,63
2019-06-02,62
2019-06-09,57
2019-06-16,65
2019-06-23,59
2019-06-30,56
2019-07-07,62
2019-07-14,70
2019-07-21,75
2019-07-28,73
2019-08-04,60
2019-08-11,61
2019-08-18,62
2019-08-25,58
2019-09-01,65
2019-09-08,63
2019-09-15,63
2019-09-22,66
2019-09-29,62
2019-10-06,65
2019-10-13,58
2019-10-20,59
2019-10-27,59
2019-11-03,62
2019-11-10,63
2019-11-17,66
2019-11-24,65
2019-12-01,71
2019-12-08,68
2019-12-15,79
2019-12-22,100
2019-12-29,97
2020-01-05,89
