Category: All categories

Week,netflix: (Spain)
2015-01-11,3
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,3
2015-02-15,2
2015-02-22,3
2015-03-01,3
2015-03-08,3
2015-03-15,3
2015-03-22,2
2015-03-29,3
2015-04-05,3
2015-04-12,3
2015-04-19,3
2015-04-26,3
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,5
2015-06-07,4
2015-06-14,4
2015-06-21,3
2015-06-28,3
2015-07-05,3
2015-07-12,4
2015-07-19,3
2015-07-26,3
2015-08-02,3
2015-08-09,3
2015-08-16,4
2015-08-23,4
2015-08-30,5
2015-09-06,6
2015-09-13,4
2015-09-20,4
2015-09-27,8
2015-10-04,5
2015-10-11,8
2015-10-18,41
2015-10-25,25
2015-11-01,21
2015-11-08,17
2015-11-15,16
2015-11-22,15
2015-11-29,15
2015-12-06,17
2015-12-13,14
2015-12-20,16
2015-12-27,18
2016-01-03,17
2016-01-10,15
2016-01-17,14
2016-01-24,13
2016-01-31,13
2016-02-07,13
2016-02-14,13
2016-02-21,13
2016-02-28,13
2016-03-06,13
2016-03-13,13
2016-03-20,17
2016-03-27,16
2016-04-03,13
2016-04-10,12
2016-04-17,12
2016-04-24,12
2016-05-01,12
2016-05-08,11
2016-05-15,11
2016-05-22,11
2016-05-29,11
2016-06-05,11
2016-06-12,11
2016-06-19,12
2016-06-26,12
2016-07-03,13
2016-07-10,13
2016-07-17,16
2016-07-24,17
2016-07-31,17
2016-08-07,18
2016-08-14,18
2016-08-21,19
2016-08-28,24
2016-09-04,25
2016-09-11,23
2016-09-18,22
2016-09-25,23
2016-10-02,24
2016-10-09,25
2016-10-16,23
2016-10-23,23
2016-10-30,28
2016-11-06,24
2016-11-13,24
2016-11-20,23
2016-11-27,27
2016-12-04,32
2016-12-11,29
2016-12-18,31
2016-12-25,40
2017-01-01,43
2017-01-08,35
2017-01-15,35
2017-01-22,33
2017-01-29,33
2017-02-05,35
2017-02-12,34
2017-02-19,32
2017-02-26,34
2017-03-05,31
2017-03-12,31
2017-03-19,35
2017-03-26,35
2017-04-02,35
2017-04-09,40
2017-04-16,38
2017-04-23,37
2017-04-30,47
2017-05-07,41
2017-05-14,37
2017-05-21,33
2017-05-28,34
2017-06-04,31
2017-06-11,30
2017-06-18,33
2017-06-25,35
2017-07-02,39
2017-07-09,38
2017-07-16,40
2017-07-23,43
2017-07-30,45
2017-08-06,48
2017-08-13,45
2017-08-20,48
2017-08-27,59
2017-09-03,58
2017-09-10,54
2017-09-17,49
2017-09-24,48
2017-10-01,44
2017-10-08,51
2017-10-15,45
2017-10-22,49
2017-10-29,57
2017-11-05,57
2017-11-12,53
2017-11-19,49
2017-11-26,51
2017-12-03,63
2017-12-10,52
2017-12-17,54
2017-12-24,78
2017-12-31,72
2018-01-07,62
2018-01-14,59
2018-01-21,60
2018-01-28,61
2018-02-04,59
2018-02-11,60
2018-02-18,56
2018-02-25,59
2018-03-04,54
2018-03-11,54
2018-03-18,56
2018-03-25,62
2018-04-01,55
2018-04-08,49
2018-04-15,48
2018-04-22,49
2018-04-29,57
2018-05-06,46
2018-05-13,51
2018-05-20,52
2018-05-27,50
2018-06-03,49
2018-06-10,52
2018-06-17,45
2018-06-24,46
2018-07-01,47
2018-07-08,46
2018-07-15,51
2018-07-22,55
2018-07-29,55
2018-08-05,53
2018-08-12,61
2018-08-19,62
2018-08-26,62
2018-09-02,64
2018-09-09,63
2018-09-16,59
2018-09-23,55
2018-09-30,55
2018-10-07,65
2018-10-14,65
2018-10-21,61
2018-10-28,70
2018-11-04,58
2018-11-11,56
2018-11-18,57
2018-11-25,56
2018-12-02,66
2018-12-09,71
2018-12-16,64
2018-12-23,88
2018-12-30,90
2019-01-06,80
2019-01-13,74
2019-01-20,66
2019-01-27,69
2019-02-03,66
2019-02-10,63
2019-02-17,61
2019-02-24,55
2019-03-03,58
2019-03-10,57
2019-03-17,62
2019-03-24,59
2019-03-31,59
2019-04-07,57
2019-04-14,69
2019-04-21,60
2019-04-28,55
2019-05-05,49
2019-05-12,50
2019-05-19,55
2019-05-26,52
2019-06-02,53
2019-06-09,57
2019-06-16,63
2019-06-23,57
2019-06-30,64
2019-07-07,64
2019-07-14,70
2019-07-21,73
2019-07-28,71
2019-08-04,69
2019-08-11,73
2019-08-18,72
2019-08-25,73
2019-09-01,70
2019-09-08,73
2019-09-15,69
2019-09-22,67
2019-09-29,63
2019-10-06,64
2019-10-13,62
2019-10-20,64
2019-10-27,70
2019-11-03,68
2019-11-10,67
2019-11-17,70
2019-11-24,63
2019-12-01,71
2019-12-08,71
2019-12-15,76
2019-12-22,93
2019-12-29,100
2020-01-05,100
