Category: All categories

Week,netflix: (Taiwan)
2015-01-11,2
2015-01-18,3
2015-01-25,2
2015-02-01,2
2015-02-08,2
2015-02-15,3
2015-02-22,2
2015-03-01,3
2015-03-08,2
2015-03-15,2
2015-03-22,3
2015-03-29,2
2015-04-05,3
2015-04-12,3
2015-04-19,3
2015-04-26,2
2015-05-03,3
2015-05-10,2
2015-05-17,2
2015-05-24,1
2015-05-31,2
2015-06-07,3
2015-06-14,3
2015-06-21,3
2015-06-28,2
2015-07-05,2
2015-07-12,3
2015-07-19,2
2015-07-26,2
2015-08-02,4
2015-08-09,3
2015-08-16,2
2015-08-23,3
2015-08-30,4
2015-09-06,10
2015-09-13,6
2015-09-20,4
2015-09-27,3
2015-10-04,4
2015-10-11,3
2015-10-18,4
2015-10-25,4
2015-11-01,4
2015-11-08,2
2015-11-15,4
2015-11-22,4
2015-11-29,3
2015-12-06,6
2015-12-13,6
2015-12-20,6
2015-12-27,8
2016-01-03,100
2016-01-10,56
2016-01-17,34
2016-01-24,30
2016-01-31,32
2016-02-07,27
2016-02-14,22
2016-02-21,16
2016-02-28,19
2016-03-06,17
2016-03-13,15
2016-03-20,15
2016-03-27,15
2016-04-03,13
2016-04-10,12
2016-04-17,14
2016-04-24,14
2016-05-01,10
2016-05-08,10
2016-05-15,10
2016-05-22,13
2016-05-29,12
2016-06-05,15
2016-06-12,13
2016-06-19,12
2016-06-26,11
2016-07-03,12
2016-07-10,11
2016-07-17,13
2016-07-24,10
2016-07-31,12
2016-08-07,9
2016-08-14,9
2016-08-21,8
2016-08-28,10
2016-09-04,11
2016-09-11,13
2016-09-18,13
2016-09-25,13
2016-10-02,14
2016-10-09,13
2016-10-16,15
2016-10-23,12
2016-10-30,13
2016-11-06,13
2016-11-13,13
2016-11-20,11
2016-11-27,14
2016-12-04,12
2016-12-11,12
2016-12-18,12
2016-12-25,14
2017-01-01,13
2017-01-08,15
2017-01-15,15
2017-01-22,15
2017-01-29,16
2017-02-05,15
2017-02-12,15
2017-02-19,14
2017-02-26,13
2017-03-05,14
2017-03-12,16
2017-03-19,16
2017-03-26,15
2017-04-02,17
2017-04-09,14
2017-04-16,19
2017-04-23,17
2017-04-30,15
2017-05-07,32
2017-05-14,19
2017-05-21,18
2017-05-28,26
2017-06-04,18
2017-06-11,18
2017-06-18,17
2017-06-25,16
2017-07-02,20
2017-07-09,21
2017-07-16,20
2017-07-23,20
2017-07-30,24
2017-08-06,21
2017-08-13,18
2017-08-20,16
2017-08-27,19
2017-09-03,20
2017-09-10,16
2017-09-17,18
2017-09-24,17
2017-10-01,18
2017-10-08,20
2017-10-15,19
2017-10-22,19
2017-10-29,22
2017-11-05,20
2017-11-12,20
2017-11-19,25
2017-11-26,21
2017-12-03,24
2017-12-10,24
2017-12-17,23
2017-12-24,24
2017-12-31,32
2018-01-07,33
2018-01-14,31
2018-01-21,31
2018-01-28,32
2018-02-04,28
2018-02-11,37
2018-02-18,31
2018-02-25,29
2018-03-04,27
2018-03-11,26
2018-03-18,26
2018-03-25,25
2018-04-01,27
2018-04-08,24
2018-04-15,28
2018-04-22,24
2018-04-29,25
2018-05-06,28
2018-05-13,25
2018-05-20,26
2018-05-27,25
2018-06-03,27
2018-06-10,29
2018-06-17,27
2018-06-24,31
2018-07-01,34
2018-07-08,36
2018-07-15,33
2018-07-22,36
2018-07-29,35
2018-08-05,33
2018-08-12,31
2018-08-19,31
2018-08-26,28
2018-09-02,28
2018-09-09,29
2018-09-16,26
2018-09-23,31
2018-09-30,27
2018-10-07,30
2018-10-14,30
2018-10-21,25
2018-10-28,31
2018-11-04,28
2018-11-11,27
2018-11-18,27
2018-11-25,26
2018-12-02,28
2018-12-09,26
2018-12-16,31
2018-12-23,35
2018-12-30,44
2019-01-06,40
2019-01-13,39
2019-01-20,51
2019-01-27,61
2019-02-03,82
2019-02-10,62
2019-02-17,55
2019-02-24,61
2019-03-03,55
2019-03-10,51
2019-03-17,64
2019-03-24,65
2019-03-31,70
2019-04-07,60
2019-04-14,59
2019-04-21,52
2019-04-28,51
2019-05-05,53
2019-05-12,53
2019-05-19,46
2019-05-26,50
2019-06-02,48
2019-06-09,43
2019-06-16,47
2019-06-23,51
2019-06-30,49
2019-07-07,57
2019-07-14,55
2019-07-21,57
2019-07-28,52
2019-08-04,56
2019-08-11,50
2019-08-18,63
2019-08-25,56
2019-09-01,53
2019-09-08,54
2019-09-15,51
2019-09-22,47
2019-09-29,53
2019-10-06,56
2019-10-13,50
2019-10-20,50
2019-10-27,58
2019-11-03,59
2019-11-10,53
2019-11-17,56
2019-11-24,52
2019-12-01,55
2019-12-08,62
2019-12-15,66
2019-12-22,67
2019-12-29,81
2020-01-05,74
