Category: All categories

Week,netflix: (Thailand)
2015-01-11,2
2015-01-18,2
2015-01-25,2
2015-02-01,2
2015-02-08,2
2015-02-15,2
2015-02-22,2
2015-03-01,2
2015-03-08,2
2015-03-15,1
2015-03-22,2
2015-03-29,2
2015-04-05,3
2015-04-12,3
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,2
2015-06-14,2
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,2
2015-07-19,2
2015-07-26,2
2015-08-02,2
2015-08-09,2
2015-08-16,2
2015-08-23,3
2015-08-30,2
2015-09-06,2
2015-09-13,2
2015-09-20,2
2015-09-27,3
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,3
2015-11-29,2
2015-12-06,2
2015-12-13,2
2015-12-20,3
2015-12-27,3
2016-01-03,18
2016-01-10,11
2016-01-17,7
2016-01-24,7
2016-01-31,5
2016-02-07,6
2016-02-14,5
2016-02-21,5
2016-02-28,5
2016-03-06,4
2016-03-13,4
2016-03-20,5
2016-03-27,4
2016-04-03,4
2016-04-10,4
2016-04-17,4
2016-04-24,4
2016-05-01,4
2016-05-08,3
2016-05-15,3
2016-05-22,4
2016-05-29,4
2016-06-05,5
2016-06-12,4
2016-06-19,5
2016-06-26,4
2016-07-03,5
2016-07-10,4
2016-07-17,4
2016-07-24,4
2016-07-31,4
2016-08-07,4
2016-08-14,4
2016-08-21,4
2016-08-28,4
2016-09-04,4
2016-09-11,4
2016-09-18,5
2016-09-25,4
2016-10-02,5
2016-10-09,4
2016-10-16,5
2016-10-23,5
2016-10-30,5
2016-11-06,6
2016-11-13,6
2016-11-20,5
2016-11-27,5
2016-12-04,6
2016-12-11,5
2016-12-18,6
2016-12-25,8
2017-01-01,9
2017-01-08,7
2017-01-15,8
2017-01-22,7
2017-01-29,7
2017-02-05,8
2017-02-12,6
2017-02-19,6
2017-02-26,7
2017-03-05,6
2017-03-12,7
2017-03-19,8
2017-03-26,7
2017-04-02,9
2017-04-09,9
2017-04-16,9
2017-04-23,11
2017-04-30,13
2017-05-07,13
2017-05-14,11
2017-05-21,11
2017-05-28,11
2017-06-04,12
2017-06-11,10
2017-06-18,10
2017-06-25,13
2017-07-02,13
2017-07-09,13
2017-07-16,13
2017-07-23,13
2017-07-30,13
2017-08-06,13
2017-08-13,13
2017-08-20,15
2017-08-27,17
2017-09-03,15
2017-09-10,15
2017-09-17,13
2017-09-24,14
2017-10-01,16
2017-10-08,19
2017-10-15,19
2017-10-22,25
2017-10-29,20
2017-11-05,20
2017-11-12,21
2017-11-19,22
2017-11-26,23
2017-12-03,23
2017-12-10,22
2017-12-17,27
2017-12-24,31
2017-12-31,36
2018-01-07,38
2018-01-14,36
2018-01-21,31
2018-01-28,32
2018-02-04,32
2018-02-11,33
2018-02-18,34
2018-02-25,34
2018-03-04,33
2018-03-11,39
2018-03-18,44
2018-03-25,44
2018-04-01,48
2018-04-08,57
2018-04-15,65
2018-04-22,55
2018-04-29,58
2018-05-06,54
2018-05-13,56
2018-05-20,60
2018-05-27,55
2018-06-03,54
2018-06-10,45
2018-06-17,38
2018-06-24,40
2018-07-01,39
2018-07-08,42
2018-07-15,42
2018-07-22,53
2018-07-29,48
2018-08-05,46
2018-08-12,56
2018-08-19,50
2018-08-26,44
2018-09-02,46
2018-09-09,51
2018-09-16,42
2018-09-23,43
2018-09-30,44
2018-10-07,54
2018-10-14,53
2018-10-21,50
2018-10-28,44
2018-11-04,47
2018-11-11,45
2018-11-18,51
2018-11-25,65
2018-12-02,72
2018-12-09,73
2018-12-16,57
2018-12-23,82
2018-12-30,100
2019-01-06,79
2019-01-13,75
2019-01-20,84
2019-01-27,98
2019-02-03,86
2019-02-10,68
2019-02-17,70
2019-02-24,61
2019-03-03,58
2019-03-10,63
2019-03-17,70
2019-03-24,61
2019-03-31,61
2019-04-07,74
2019-04-14,81
2019-04-21,64
2019-04-28,63
2019-05-05,62
2019-05-12,62
2019-05-19,62
2019-05-26,58
2019-06-02,64
2019-06-09,59
2019-06-16,58
2019-06-23,58
2019-06-30,59
2019-07-07,63
2019-07-14,71
2019-07-21,67
2019-07-28,65
2019-08-04,61
2019-08-11,64
2019-08-18,60
2019-08-25,63
2019-09-01,55
2019-09-08,57
2019-09-15,59
2019-09-22,55
2019-09-29,55
2019-10-06,59
2019-10-13,63
2019-10-20,58
2019-10-27,59
2019-11-03,64
2019-11-10,69
2019-11-17,87
2019-11-24,71
2019-12-01,65
2019-12-08,66
2019-12-15,75
2019-12-22,93
2019-12-29,96
2020-01-05,79
