Category: All categories

Week,netflix: (Turkey)
2015-01-11,1
2015-01-18,1
2015-01-25,1
2015-02-01,1
2015-02-08,1
2015-02-15,1
2015-02-22,1
2015-03-01,1
2015-03-08,1
2015-03-15,1
2015-03-22,1
2015-03-29,1
2015-04-05,1
2015-04-12,1
2015-04-19,1
2015-04-26,1
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,1
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,1
2015-08-02,1
2015-08-09,1
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,1
2015-10-11,1
2015-10-18,1
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,1
2015-11-22,1
2015-11-29,1
2015-12-06,1
2015-12-13,1
2015-12-20,1
2015-12-27,1
2016-01-03,9
2016-01-10,4
2016-01-17,3
2016-01-24,2
2016-01-31,2
2016-02-07,1
2016-02-14,1
2016-02-21,2
2016-02-28,1
2016-03-06,1
2016-03-13,1
2016-03-20,1
2016-03-27,1
2016-04-03,1
2016-04-10,1
2016-04-17,1
2016-04-24,1
2016-05-01,1
2016-05-08,1
2016-05-15,1
2016-05-22,1
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,1
2016-07-31,2
2016-08-07,1
2016-08-14,1
2016-08-21,1
2016-08-28,2
2016-09-04,2
2016-09-11,2
2016-09-18,5
2016-09-25,4
2016-10-02,4
2016-10-09,4
2016-10-16,4
2016-10-23,4
2016-10-30,3
2016-11-06,3
2016-11-13,4
2016-11-20,3
2016-11-27,4
2016-12-04,3
2016-12-11,3
2016-12-18,4
2016-12-25,5
2017-01-01,5
2017-01-08,5
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,4
2017-02-12,4
2017-02-19,3
2017-02-26,4
2017-03-05,3
2017-03-12,4
2017-03-19,4
2017-03-26,4
2017-04-02,5
2017-04-09,4
2017-04-16,4
2017-04-23,4
2017-04-30,5
2017-05-07,5
2017-05-14,5
2017-05-21,5
2017-05-28,6
2017-06-04,6
2017-06-11,5
2017-06-18,6
2017-06-25,6
2017-07-02,5
2017-07-09,5
2017-07-16,5
2017-07-23,6
2017-07-30,6
2017-08-06,5
2017-08-13,8
2017-08-20,8
2017-08-27,9
2017-09-03,9
2017-09-10,12
2017-09-17,11
2017-09-24,8
2017-10-01,6
2017-10-08,6
2017-10-15,7
2017-10-22,8
2017-10-29,9
2017-11-05,8
2017-11-12,9
2017-11-19,9
2017-11-26,8
2017-12-03,8
2017-12-10,9
2017-12-17,13
2017-12-24,15
2017-12-31,16
2018-01-07,14
2018-01-14,16
2018-01-21,16
2018-01-28,17
2018-02-04,17
2018-02-11,17
2018-02-18,18
2018-02-25,19
2018-03-04,19
2018-03-11,18
2018-03-18,18
2018-03-25,17
2018-04-01,16
2018-04-08,15
2018-04-15,17
2018-04-22,18
2018-04-29,16
2018-05-06,15
2018-05-13,17
2018-05-20,18
2018-05-27,18
2018-06-03,19
2018-06-10,20
2018-06-17,18
2018-06-24,19
2018-07-01,20
2018-07-08,19
2018-07-15,21
2018-07-22,23
2018-07-29,22
2018-08-05,19
2018-08-12,19
2018-08-19,27
2018-08-26,23
2018-09-02,27
2018-09-09,26
2018-09-16,22
2018-09-23,23
2018-09-30,25
2018-10-07,22
2018-10-14,25
2018-10-21,24
2018-10-28,25
2018-11-04,24
2018-11-11,27
2018-11-18,27
2018-11-25,27
2018-12-02,29
2018-12-09,40
2018-12-16,47
2018-12-23,45
2018-12-30,56
2019-01-06,53
2019-01-13,60
2019-01-20,61
2019-01-27,55
2019-02-03,48
2019-02-10,56
2019-02-17,81
2019-02-24,63
2019-03-03,54
2019-03-10,51
2019-03-17,48
2019-03-24,50
2019-03-31,41
2019-04-07,45
2019-04-14,48
2019-04-21,49
2019-04-28,46
2019-05-05,46
2019-05-12,47
2019-05-19,46
2019-05-26,53
2019-06-02,66
2019-06-09,51
2019-06-16,59
2019-06-23,55
2019-06-30,60
2019-07-07,58
2019-07-14,68
2019-07-21,74
2019-07-28,72
2019-08-04,62
2019-08-11,63
2019-08-18,64
2019-08-25,56
2019-09-01,59
2019-09-08,51
2019-09-15,50
2019-09-22,46
2019-09-29,47
2019-10-06,49
2019-10-13,48
2019-10-20,48
2019-10-27,54
2019-11-03,48
2019-11-10,51
2019-11-17,61
2019-11-24,56
2019-12-01,57
2019-12-08,58
2019-12-15,62
2019-12-22,72
2019-12-29,100
2020-01-05,100
