Category: All categories

Week,netflix: (United Kingdom)
2015-01-11,53
2015-01-18,51
2015-01-25,51
2015-02-01,52
2015-02-08,55
2015-02-15,54
2015-02-22,51
2015-03-01,51
2015-03-08,47
2015-03-15,48
2015-03-22,51
2015-03-29,56
2015-04-05,57
2015-04-12,50
2015-04-19,46
2015-04-26,46
2015-05-03,48
2015-05-10,45
2015-05-17,45
2015-05-24,50
2015-05-31,49
2015-06-07,54
2015-06-14,56
2015-06-21,52
2015-06-28,47
2015-07-05,47
2015-07-12,50
2015-07-19,52
2015-07-26,53
2015-08-02,50
2015-08-09,53
2015-08-16,51
2015-08-23,50
2015-08-30,53
2015-09-06,46
2015-09-13,44
2015-09-20,46
2015-09-27,50
2015-10-04,52
2015-10-11,52
2015-10-18,52
2015-10-25,50
2015-11-01,48
2015-11-08,44
2015-11-15,45
2015-11-22,42
2015-11-29,43
2015-12-06,43
2015-12-13,48
2015-12-20,57
2015-12-27,59
2016-01-03,52
2016-01-10,49
2016-01-17,49
2016-01-24,46
2016-01-31,42
2016-02-07,42
2016-02-14,47
2016-02-21,41
2016-02-28,42
2016-03-06,42
2016-03-13,39
2016-03-20,43
2016-03-27,45
2016-04-03,40
2016-04-10,37
2016-04-17,34
2016-04-24,34
2016-05-01,36
2016-05-08,30
2016-05-15,32
2016-05-22,33
2016-05-29,39
2016-06-05,31
2016-06-12,35
2016-06-19,37
2016-06-26,36
2016-07-03,34
2016-07-10,35
2016-07-17,36
2016-07-24,36
2016-07-31,39
2016-08-07,34
2016-08-14,33
2016-08-21,36
2016-08-28,40
2016-09-04,37
2016-09-11,36
2016-09-18,38
2016-09-25,43
2016-10-02,40
2016-10-09,39
2016-10-16,42
2016-10-23,40
2016-10-30,41
2016-11-06,39
2016-11-13,37
2016-11-20,36
2016-11-27,38
2016-12-04,37
2016-12-11,42
2016-12-18,45
2016-12-25,47
2017-01-01,47
2017-01-08,43
2017-01-15,43
2017-01-22,42
2017-01-29,40
2017-02-05,44
2017-02-12,42
2017-02-19,38
2017-02-26,37
2017-03-05,36
2017-03-12,37
2017-03-19,40
2017-03-26,39
2017-04-02,41
2017-04-09,43
2017-04-16,46
2017-04-23,38
2017-04-30,41
2017-05-07,38
2017-05-14,39
2017-05-21,34
2017-05-28,39
2017-06-04,34
2017-06-11,34
2017-06-18,34
2017-06-25,42
2017-07-02,36
2017-07-09,39
2017-07-16,43
2017-07-23,48
2017-07-30,48
2017-08-06,47
2017-08-13,46
2017-08-20,49
2017-08-27,48
2017-09-03,45
2017-09-10,43
2017-09-17,45
2017-09-24,46
2017-10-01,47
2017-10-08,49
2017-10-15,49
2017-10-22,52
2017-10-29,50
2017-11-05,51
2017-11-12,51
2017-11-19,49
2017-11-26,48
2017-12-03,51
2017-12-10,56
2017-12-17,62
2017-12-24,72
2017-12-31,67
2018-01-07,57
2018-01-14,57
2018-01-21,62
2018-01-28,54
2018-02-04,55
2018-02-11,54
2018-02-18,51
2018-02-25,58
2018-03-04,55
2018-03-11,56
2018-03-18,54
2018-03-25,58
2018-04-01,61
2018-04-08,55
2018-04-15,49
2018-04-22,51
2018-04-29,51
2018-05-06,52
2018-05-13,56
2018-05-20,55
2018-05-27,56
2018-06-03,47
2018-06-10,51
2018-06-17,46
2018-06-24,43
2018-07-01,44
2018-07-08,44
2018-07-15,53
2018-07-22,53
2018-07-29,58
2018-08-05,55
2018-08-12,59
2018-08-19,61
2018-08-26,62
2018-09-02,53
2018-09-09,52
2018-09-16,54
2018-09-23,54
2018-09-30,53
2018-10-07,57
2018-10-14,63
2018-10-21,65
2018-10-28,70
2018-11-04,60
2018-11-11,56
2018-11-18,52
2018-11-25,53
2018-12-02,56
2018-12-09,61
2018-12-16,65
2018-12-23,100
2018-12-30,94
2019-01-06,79
2019-01-13,83
2019-01-20,81
2019-01-27,75
2019-02-03,70
2019-02-10,66
2019-02-17,68
2019-02-24,61
2019-03-03,60
2019-03-10,77
2019-03-17,68
2019-03-24,58
2019-03-31,60
2019-04-07,58
2019-04-14,58
2019-04-21,56
2019-04-28,60
2019-05-05,62
2019-05-12,50
2019-05-19,54
2019-05-26,62
2019-06-02,56
2019-06-09,55
2019-06-16,53
2019-06-23,49
2019-06-30,50
2019-07-07,54
2019-07-14,59
2019-07-21,57
2019-07-28,57
2019-08-04,57
2019-08-11,60
2019-08-18,55
2019-08-25,60
2019-09-01,53
2019-09-08,54
2019-09-15,61
2019-09-22,62
2019-09-29,58
2019-10-06,59
2019-10-13,62
2019-10-20,64
2019-10-27,64
2019-11-03,64
2019-11-10,61
2019-11-17,57
2019-11-24,54
2019-12-01,54
2019-12-08,54
2019-12-15,72
2019-12-22,84
2019-12-29,91
2020-01-05,78
